;user_id;gender;registration_age;registration_ageKat;country;work_country;work_district;job_position;job_sector;company_size;job_status_edu_parttime;job_status_edu_fulltime;job_status_employed_parttime;job_status_employed_fulltime;job_status_selfemployed;job_status_houskeeping;job_status_unemployed;job_status_retired;educational_achievement
0;5583e52e7a68616fe90000ba;f;22;20-29;CH;CH;BS;Sachbearbeiter/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;;;;;;;;;;Gymnasiale Maturität, Lehrkräfte-Seminar
1;5583e5417a68616fe90001e5;m;49;40-49;CH;CH;ZH;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Gesundheits- und Sozialwesen;;;;;;;;;;Höhere Fachschule lusive Nachdiplome
2;5583e5477a68616fe900027b;f;34;30-39;CH;CH;ZH;untere Führungsstufe (z.B. Teamleitung);Erbringung von sonstigen Dienstleistungen;249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
3;5583e5da7a68616fe9001d1f;f;52;50-59;DE;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;;;;;;;;;;Höhere Fachschule lusive Nachdiplome
4;5583e61d7a68616fe9002cd0;f;44;40-49;CH;CH;TG;Keine Angaben;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";;;;;;;;;;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
5;5583e6357a68616fe9003123;f;26;20-29;CH;CH;ZH;Sachbearbeiter/-in;Verarbeitendes Gewerbe/Herstellung von Waren;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
6;5583e7167a68616fe9005d93;m;31;30-39;CH;CH;ZH;Fachspezialist/-in;Erziehung und Unterricht;250.0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Höhere Fachschule lusive Nachdiplome
7;5583e7b27a68616fe9007d5f;f;40;40-49;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;;;;;;;;;;Höhere Fachschule lusive Nachdiplome
8;5583e7b57a68616fe9007dff;f;49;40-49;CH;CH;SO;obere Führungsstufe (z.B. Geschäftsleitung / CEO);Erziehung und Unterricht;1.0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Höhere Fach- und Berufsausbildung mit eidg. Fachausweis, eidg. Diplom oder Meisterdiplom, Höhere Fachschule für Technik
9;5583e7c67a68616fe90081a5;m;38;30-39;CH;CH;ZH;Fachspezialist/-in;Gesundheits- und Sozialwesen;;;;;;;;;;
10;5583e81a7a68616fe900945d;f;45;40-49;CH;CH;GR;Fachspezialist/-in;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";249.0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;Master, Lizentiat, Diplom, Staatsexamen, Nachdiplom
11;5583e82f7a68616fe90099ae;m;49;40-49;CH;CH;ZH;Fachspezialist/-in;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;;;;;;;;;;Höhere Fachschule lusive Nachdiplome
12;5583e8e47a68616fe900bd97;f;32;30-39;CH;CH;ZG;mittlere Führungsstufe (z.B. Abteilungs- / Bereichsleitung);Erbringung von sonstigen Dienstleistungen;;;;;;;;;;Gymnasiale Maturität, Lehrkräfte-Seminar
13;5583e8f77a68616fe900c1e3;f;35;30-39;CH;CH;ZH;Sachbearbeiter/-in;Gesundheits- und Sozialwesen;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Bachelor
14;5583e8f87a68616fe900c22d;f;51;50-59;CH;CH;ZH;Fachspezialist/-in;Erbringung von Finanz- und Versicherungsdienstleistungen;250.0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;Bachelor
15;5583e9007a68616fe900c47a;f;28;20-29;CH;CH;ZH;Sachbearbeiter/-in;Erziehung und Unterricht;;;;;;;;;;Gymnasiale Maturität, Lehrkräfte-Seminar
