;user_id;neurotizismus;extraversion;offenheit;vertraeglichkeit;gewissenhaftigkeit
0;5583e52e7a68616fe90000ba;2,80555555555556;3,16666666666667;4,33333333333333;3,0;4,02777777777778
1;5583e5417a68616fe90001e5;2,11111111111111;3,05555555555556;3,86111111111111;3,36111111111111;3,58333333333333
2;5583e5477a68616fe900027b;2,58333333333333;4,0;3,91666666666667;3,41666666666667;3,16666666666667
3;5583e5da7a68616fe9001d1f;2,88888888888889;3,69444444444444;4,61111111111111;3,77777777777778;3,38888888888889
4;5583e61d7a68616fe9002cd0;3,0;3,63888888888889;3,69444444444444;2,86111111111111;3,13888888888889
5;5583e6357a68616fe9003123;2,27777777777778;4,63888888888889;4,47222222222222;3,5;4,58333333333333
6;5583e7167a68616fe9005d93;2,69444444444444;4,0;4,11111111111111;3,47222222222222;3,16666666666667
7;5583e7b27a68616fe9007d5f;1,5;3,55555555555556;3,41666666666667;3,63888888888889;4,13888888888889
8;5583e7b57a68616fe9007dff;2,69444444444444;3,97222222222222;4,25;4,02777777777778;4,52777777777778
9;5583e7c67a68616fe90081a5;2,66666666666667;3,08333333333333;3,61111111111111;3,77777777777778;3,77777777777778
10;5583e81a7a68616fe900945d;3,22222222222222;2,22222222222222;3,44444444444444;4,19444444444444;4,36111111111111
11;5583e82f7a68616fe90099ae;2,02777777777778;3,11111111111111;3,91666666666667;3,61111111111111;3,97222222222222
12;5583e8e47a68616fe900bd97;1,44444444444444;3,72222222222222;3,13888888888889;3,41666666666667;4,33333333333333
13;5583e8f77a68616fe900c1e3;3,83333333333333;2,75;3,33333333333333;3,72222222222222;4,16666666666667
14;5583e8f87a68616fe900c22d;1,77777777777778;3,52777777777778;4,41666666666667;2,97222222222222;4,22222222222222
15;5583e9007a68616fe900c47a;2,33333333333333;3,33333333333333;4,33333333333333;3,27777777777778;3,0
16;5583e9087a68616fe900c618;2,11111111111111;3,08333333333333;3,25;4,11111111111111;4,02777777777778
17;5583e90f7a68616fe900c824;2,30555555555556;3,63888888888889;4,02777777777778;4,02777777777778;4,25
18;5583ea127a68616fe90101d3;2,72222222222222;3,88888888888889;3,83333333333333;3,69444444444444;3,88888888888889
19;5583ea367a68616fe90109f5;2,38888888888889;4,02777777777778;3,83333333333333;3,66666666666667;3,83333333333333
20;5583eaae7a68616fe9012262;2,38888888888889;3,77777777777778;3,83333333333333;3,33333333333333;3,94444444444444
21;5583eaba7a68616fe9012402;2,36111111111111;3,5;2,97222222222222;3,83333333333333;3,80555555555556
22;5583eb377a68616fe90138a8;2,91666666666667;3,22222222222222;2,77777777777778;3,72222222222222;3,52777777777778
23;5583ed037a68616fe9018d75;2,94444444444444;2,88888888888889;4,08333333333333;3,41666666666667;3,36111111111111
24;5583edef7a68616fe901bcda;2,77777777777778;2,61111111111111;3,55555555555556;2,88888888888889;3,47222222222222
25;5583ee207a68616fe901c2c2;1,63888888888889;3,77777777777778;3,41666666666667;3,0;3,41666666666667
26;5583ee557a68616fe901c9ee;3,02777777777778;2,97222222222222;3,36111111111111;3,52777777777778;3,88888888888889
27;5583ee667a68616fe901cc4d;1,86111111111111;3,55555555555556;3,75;3,38888888888889;3,33333333333333
