;user_id;neurotizismusCategory;extraversionCategory;offenheitCategory;vertraeglichkeitCategory;gewissenhaftigkeitCategory
0;5583e52e7a68616fe90000ba;1,0;0,0;1,0;0,0;1,0
1;5583e5417a68616fe90001e5;0,0;0,0;1,0;0,0;0,0
2;5583e5477a68616fe900027b;0,0;1,0;1,0;0,0;0,0
3;5583e5da7a68616fe9001d1f;1,0;1,0;1,0;1,0;0,0
4;5583e61d7a68616fe9002cd0;1,0;1,0;1,0;0,0;0,0
5;5583e6357a68616fe9003123;0,0;1,0;1,0;1,0;1,0
6;5583e7167a68616fe9005d93;1,0;1,0;1,0;0,0;0,0
7;5583e7b27a68616fe9007d5f;0,0;1,0;0,0;1,0;1,0
8;5583e7b57a68616fe9007dff;1,0;1,0;1,0;1,0;1,0
9;5583e7c67a68616fe90081a5;1,0;0,0;1,0;1,0;1,0
10;5583e81a7a68616fe900945d;1,0;0,0;0,0;1,0;1,0
11;5583e82f7a68616fe90099ae;0,0;0,0;1,0;1,0;1,0
12;5583e8e47a68616fe900bd97;0,0;1,0;0,0;0,0;1,0
13;5583e8f77a68616fe900c1e3;1,0;0,0;0,0;1,0;1,0
14;5583e8f87a68616fe900c22d;0,0;1,0;1,0;0,0;1,0
15;5583e9007a68616fe900c47a;0,0;0,0;1,0;0,0;0,0
16;5583e9087a68616fe900c618;0,0;0,0;0,0;1,0;1,0
17;5583e90f7a68616fe900c824;0,0;1,0;1,0;1,0;1,0
18;5583ea127a68616fe90101d3;1,0;1,0;1,0;1,0;1,0
19;5583ea367a68616fe90109f5;0,0;1,0;1,0;1,0;1,0
20;5583eaae7a68616fe9012262;0,0;1,0;1,0;0,0;1,0
21;5583eaba7a68616fe9012402;0,0;1,0;0,0;1,0;1,0
22;5583eb377a68616fe90138a8;1,0;0,0;0,0;1,0;0,0
23;5583ed037a68616fe9018d75;1,0;0,0;1,0;0,0;0,0
24;5583edef7a68616fe901bcda;1,0;0,0;0,0;0,0;0,0
25;5583ee207a68616fe901c2c2;0,0;1,0;0,0;0,0;0,0
26;5583ee557a68616fe901c9ee;1,0;0,0;0,0;1,0;1,0
27;5583ee667a68616fe901cc4d;0,0;1,0;1,0;0,0;0,0
28;5583efa17a68616fe90203bd;0,0;1,0;1,0;0,0;0,0
29;5583f01d7a68616fe9021c9a;0,0;1,0;0,0;0,0;1,0
30;5583f0457a68616fe90223ab;0,0;0,0;1,0;1,0;1,0
31;5583f0e37a68616fe90244ae;1,0;0,0;1,0;1,0;0,0
32;55f6927d9f168a4028000001;0,0;0,0;1,0;0,0;1,0
33;56160cc69f168a6acc000069;0,0;1,0;0,0;0,0;1,0
34;563253339f168a735f000000;1,0;0,0;1,0;1,0;0,0
35;5633308f9f168a5af700003c;1,0;0,0;1,0;1,0;1,0
36;564348849f168a3d720001c9;1,0;1,0;1,0;1,0;0,0
37;565f0fce9f168a392300022b;1,0;1,0;0,0;1,0;1,0
38;567e95119f168a4826000000;1,0;1,0;1,0;1,0;0,0
39;568683df9f168a3186000202;1,0;1,0;1,0;1,0;1,0
40;56ba1b8d9f168a1cf900004f;1,0;0,0;1,0;1,0;0,0
41;56e5395c9f168a1ac500020c;1,0;0,0;1,0;1,0;1,0
42;56e6aee29f168a5154000004;0,0;0,0;1,0;1,0;0,0
43;57ed759005b8c528afcb85ca;0,0;1,0;1,0;1,0;0,0
44;57f0f77505b8c5016066c9b0;0,0;0,0;0,0;1,0;1,0
45;5827136a05b8c50b38c2ed32;0,0;0,0;0,0;1,0;1,0
46;5861110a05b8c56bfc398133;0,0;1,0;1,0;1,0;1,0
47;587fa45805b8c51c4e0b17aa;1,0;1,0;1,0;1,0;1,0
48;58948e0c05b8c55c6a1aa3f9;0,0;1,0;1,0;1,0;1,0
49;58984d4705b8c55356f55473;0,0;0,0;0,0;1,0;0,0
50;58a159c305b8c534c2dd096a;1,0;1,0;1,0;0,0;1,0
51;58b961e205b8c538fcee1e96;1,0;0,0;0,0;0,0;0,0
52;58c7d1c705b8c563d31d0079;0,0;0,0;0,0;1,0;0,0
53;59120ea105b8c54573ea7a60;0,0;0,0;1,0;1,0;0,0
54;591304cc05b8c55e9a2995b0;0,0;1,0;1,0;1,0;1,0
55;595de52105b8c51c4f2fc5a6;0,0;1,0;1,0;0,0;1,0
56;5989f7e505b8c54a15080be9;0,0;0,0;1,0;0,0;1,0
57;5990ab9005b8c50292f69e32;0,0;0,0;0,0;0,0;1,0
58;59c4d24c05b8c5325e224c45;1,0;0,0;1,0;0,0;0,0
59;59cb8d7d05b8c55661b1207e;1,0;1,0;1,0;1,0;0,0
60;5a0ee8a005b8c5141aa471f1;0,0;0,0;1,0;1,0;0,0
61;5a105ca005b8c5737e894ada;1,0;0,0;0,0;0,0;0,0
62;5a1686fa05b8c5074c49c26a;0,0;1,0;0,0;1,0;0,0
63;5a1fc3c405b8c5066b5c58e0;0,0;0,0;1,0;1,0;0,0
64;5a2bee1105b8c51a9e0db0f4;0,0;1,0;0,0;0,0;1,0
65;5a2e637305b8c505c2fa8df9;1,0;0,0;0,0;0,0;0,0
66;5a5a871105b8c553e9ce83af;1,0;0,0;0,0;1,0;0,0
67;5a5bb13505b8c55957109d50;0,0;1,0;1,0;1,0;0,0
68;5a92be9005b8c53cf6a4a031;0,0;1,0;1,0;1,0;0,0
69;5a942e9405b8c527e79ec10d;0,0;0,0;1,0;0,0;0,0
70;5a97e78605b8c56d80e978cb;1,0;1,0;1,0;1,0;0,0
71;5aa656fb05b8c53eefd5f825;0,0;1,0;0,0;1,0;1,0
72;5aa6770005b8c50b621ca4e9;1,0;1,0;0,0;1,0;1,0
73;5acc836e05b8c5369b906ba8;1,0;1,0;0,0;1,0;0,0
74;5b0b11ce05b8c5308a2d326a;1,0;0,0;1,0;0,0;0,0
75;5b0c11d805b8c5626de95930;1,0;0,0;1,0;0,0;1,0
76;5b0ce6f205b8c53f8ddfddaa;1,0;0,0;1,0;0,0;1,0
77;5b1acdbb05b8c537f205643e;0,0;0,0;0,0;1,0;0,0
78;5b23619805b8c55dd2940867;1,0;1,0;1,0;0,0;1,0
79;5b3268ef05b8c546ff365c86;1,0;0,0;0,0;0,0;0,0
80;5b4841a505b8c54620301b7c;1,0;0,0;1,0;1,0;1,0
81;5b4f14b705b8c50340a5fe96;0,0;1,0;0,0;0,0;0,0
82;5b5f36d005b8c55a9bdaa2bb;0,0;1,0;0,0;0,0;0,0
83;5b72c18605b8c536825d3419;1,0;0,0;1,0;1,0;0,0
84;5b8e56e605b8c504e037bbe2;0,0;1,0;1,0;0,0;0,0
85;5baa6dc405b8c52c8e4e11e9;0,0;0,0;0,0;0,0;0,0
86;5bb7bc3905b8c529854dbcde;0,0;1,0;0,0;1,0;1,0
87;5bc5c12605b8c53b4ff746a3;1,0;0,0;0,0;1,0;1,0
88;5bc7374c05b8c50241f26bd7;1,0;0,0;0,0;0,0;1,0
